'label','data'
Less than $10k,5.1
$10k-$15k,3.3
$15k-$25k,6
$25k-$35k,6.3
$35k-$50k,9.9
$50k-$75k,15.6
$75k-$100k,12.6
$100k-$150k,17.8
$150k-$200k,9.7
$200k or more, 13.7
