'label','data'
Less than 9th grade, 4.6
9th to 12th grade (no diploma), 5.5 
High school graduate (includes equivalency), 25.7
Some College (no degree), 18.5
Associate's degree, 8.8
Bachelor's degree, 22.1
Graduate or professional degree, 14.7
