'label','data'
Brazil, 80750
Canada, 1486547
Columbia, 78379
Ecuador, 44476
Guyana, 64356
Iraq, 72546
Mexico, 169311
Nigeria, 56351
Saudi Arabia, 100196
Venezuela, 83393
