'label','data'
2012, 1016458418
2013, 984841779
2014, 1000048758
2015, 896940563
2016, 728364498
2017, 774609357
2018, 756167095
2019, 706309263
2020, 535434354
2021, 577431278
2022, 594155282
2023, 577954017
