'label','data'
2012, 3084957
2013, 2810724
2014, 2680326
2015, 2687409
2016, 2873086
2017, 2910118
2018, 2835046
2019, 2473322
2020, 2154449
2021, 2237473
2022, 2293678
2023, 2369028
2024, 2410516
